path,run_id,case_id,init_time_utc,provenance,domains,vars,physics,wrfout_count,wrfinput_count,wrfbdy_count,met_em_count,sidecar_cpu_run_dir
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260511_18z_l2_72h_20260512T045528Z,20260511_18z_l2_72h_20260512T045528Z,20260511_18z,2026-05-11T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260512_18z_l2_72h_20260513T014823Z,20260512_18z_l2_72h_20260513T014823Z,20260512_18z,2026-05-12T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/surface_geo_v2_1/20260513_18z_l3_v21/wrf_l3_24h,wrf_l3_24h,20260513_18z,2026-05-13T18:00:00+00:00,CPU-WRF,"d01:25 L0-24, d02:25 L0-24, d03:25 L0-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",75,3,1,39,
/mnt/data/canairy_meteo/runs/surface_geo_v2_1/20260513_18z_l3_v21_broken_backup/wrf_l3_24h,wrf_l3_24h,20260513_18z,2026-05-13T18:00:00+00:00,CPU-WRF,"d01:25 L0-24, d02:25 L0-24, d03:25 L0-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",75,3,1,39,
/mnt/data/canairy_meteo/runs/surface_geo_v2_1/20260513_18z_l3_v21_iter1/wrf_l3_24h,wrf_l3_24h,20260513_18z,2026-05-13T18:00:00+00:00,CPU-WRF,"d01:25 L0-24, d02:25 L0-24, d03:25 L0-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",75,3,1,39,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260513_18z_l2_72h_20260514T054102Z,20260513_18z_l2_72h_20260514T054102Z,20260513_18z,2026-05-13T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2/20260521_18z_l2_72h_20260522T133443Z,20260521_18z_l2_72h_20260522T133443Z,20260521_18z,2026-05-21T18:00:00+00:00,CPU-WRF,"d01:20 L0-19, d02:20 L0-19","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8 bl_pbl_physics=5, 5 sf_sfclay_physics=5, 5 ra_lw_physics=4, 4 ra_sw_physics=4, 4 cu_physics=1, 0",40,2,1,65,
/mnt/data/canairy_meteo/runs/wrf_l3/20260521_18z_l3_24h_20260522T072630Z,20260521_18z_l3_24h_20260522T072630Z,20260521_18z,2026-05-21T18:00:00+00:00,CPU-WRF,"d01:9 L0-8, d02:9 L0-8, d03:9 L0-8, d04:9 L0-8, d05:9 L0-8","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",45,5,1,65,
/mnt/data/canairy_meteo/runs/wrf_l3/20260521_18z_l3_24h_20260522T133443Z,20260521_18z_l3_24h_20260522T133443Z,20260521_18z,2026-05-21T18:00:00+00:00,CPU-WRF,"d01:25 L0-24, d02:25 L0-24, d03:25 L0-24, d04:25 L0-24, d05:25 L0-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",125,5,1,65,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260530_18z_l2_72h_20260531T161057Z,20260530_18z_l2_72h_20260531T161057Z,20260530_18z,2026-05-30T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
