timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:54:46.174, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:46.374, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:46.575, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:46.775, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:46.975, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:47.175, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:47.375, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:47.575, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:47.775, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:47.975, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:48.175, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:48.376, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:48.576, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:48.776, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:48.976, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:49.176, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:49.376, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:49.576, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:49.776, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:49.976, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:50.177, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:50.377, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:50.577, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:50.777, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:50.977, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:51.177, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:51.377, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:51.577, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:51.777, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:51.978, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:52.178, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:52.378, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:52.578, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:52.778, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:52.978, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:53.178, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:53.378, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:53.578, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:53.779, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:53.979, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:54.179, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:54.379, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:54.579, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:54.779, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:54.979, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:55.179, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:55.379, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:55.580, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:55.780, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:55.980, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:56.180, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:56.380, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:56.580, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:56.780, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:56.980, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:57.181, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:57.381, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:57.581, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:57.781, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:57.981, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:58.181, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:58.381, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:58.581, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:58.781, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:58.982, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:59.182, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:59.382, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:59.582, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:59.782, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:59.982, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:00.182, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:00.383, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:00.583, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:00.783, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:00.983, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:01.183, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:01.384, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:01.584, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:55:01.784, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:55:01.984, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:02.184, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:02.384, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:02.584, 3355 MiB, 28757 MiB, 4 %
2026/05/28 16:55:02.785, 3355 MiB, 28757 MiB, 4 %
2026/05/28 16:55:02.985, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:03.185, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:03.385, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:03.585, 3355 MiB, 28757 MiB, 4 %
2026/05/28 16:55:03.785, 3355 MiB, 28757 MiB, 4 %
