Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=input_concatenate_fusion.9#",PushPop,8873959,10577651,2700,3286.7,3295.0,3231,4096,39.3,2700,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_add_fusion.22#",PushPop,8843244,40397448,11610,761.7,768.0,704,2976,29.4,11610,1.0,3.0,0.0
TSL:XlaModule:#hlo_module=loop_add_divide_multiply_select_sqrt_subtract_fusion#,PushPop,8377389,4677539,8,1047173.6,1047521.0,1040994,1053346,4781.7,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_divide_multiply_select_sqrt_subtract_fusion#,PushPop,8339533,42021,8,1042441.6,1042161.5,1040994,1045761,1476.8,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_divide_fusion#",PushPop,7578694,1486166419,5400,1403.5,1344.0,1312,2688,199.3,5400,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.120#",PushPop,7516458,16934468,2700,2783.9,2784.0,2624,3296,35.6,2700,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_reverse_fusion.2#",PushPop,7142977,10508024,2700,2645.5,2464.0,2399,458880,8783.8,2700,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_reverse_fusion.1#",PushPop,6478979,6514405,1350,4799.2,4575.0,4383,244512,6530.8,1350,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.46#",PushPop,6337797,3139245,270,23473.3,23504.0,22624,24544,386.8,270,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_add_select_fusion#,PushPop,6304075,3506360,8,788009.4,785793.5,778338,798177,7815.9,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_select_fusion#,PushPop,6243723,58381,8,780465.4,780593.5,776609,783746,2346.3,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_add_compare_maximum_select_transpose_fusion#,PushPop,5723115,3215596,8,715389.4,713969.5,696162,765601,21798.2,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_compare_maximum_select_transpose_fusion#,PushPop,5646571,57761,8,705821.4,696225.5,695329,765601,24289.4,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_add_and_divide_maximum_multiply_select_sqrt_fusion#,PushPop,5377835,3077664,8,672229.4,693969.5,627393,704673,36759.7,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_and_divide_maximum_multiply_select_sqrt_fusion#,PushPop,5323883,55300,8,665485.4,686786.0,627393,691106,30987.8,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_compare_divide_maximum_transpose_fusion#,PushPop,4707752,2688463,8,588469.0,588385.0,581441,596993,6618.9,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_compare_divide_maximum_transpose_fusion#,PushPop,4654920,52561,8,581865.0,581585.0,580801,584705,1209.8,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=loop_add_fusion.6#",PushPop,4522131,23745277,5400,837.4,800.0,768,1856,140.4,5400,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=input_concatenate_fusion#",PushPop,4431832,6644828,1350,3282.8,3264.0,3231,4191,43.0,1350,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.65#",PushPop,4047556,10288892,1350,2998.2,2784.0,2688,268321,7226.6,1350,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.45#",PushPop,3788808,2138320,270,14032.6,14016.0,13024,15296,380.7,270,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_and_divide_select_transpose_fusion#,PushPop,3683783,2192267,8,460472.9,453585.0,438913,487777,17760.1,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_and_divide_select_transpose_fusion#,PushPop,3634823,52761,8,454352.9,443936.5,438913,481281,18071.4,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_reverse_fusion#",PushPop,3341136,6427579,1350,2474.9,2464.0,2431,7456,146.3,1350,1.0,3.0,0.0
TSL:XlaModule:#hlo_module=loop_add_compare_divide_select_subtract_transpose_fusion#,PushPop,2932166,1818275,8,366520.8,367168.5,357152,372097,5156.6,12,1.5,0.0,1.0
TSL:XlaModule:#hlo_module=loop_multiply_subtract_transpose_fusion#,PushPop,2916037,1779834,8,364504.6,363793.0,356449,375584,7621.6,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_compare_divide_select_subtract_transpose_fusion#,PushPop,2888678,52700,8,361084.8,359393.0,357025,370080,4642.1,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_multiply_subtract_transpose_fusion#,PushPop,2860133,56220,8,357516.6,357664.5,356449,358817,865.1,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=copy.3992#,PushPop,2822591,30603441,3600,784.1,768.0,736,1184,24.5,3600,1.0,3.0,0.0
TSL:XlaModule:#hlo_module=loop_select_fusion.19#,PushPop,2686116,1733223,12,223843.0,204864.5,196544,277472,34240.9,18,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_select_fusion.19#,PushPop,2634340,48770,12,219528.3,196576.0,196224,266240,34058.1,12,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_multiply_subtract_transpose_fusion.2#,PushPop,2167844,1421272,8,270980.5,266752.5,261089,299232,12868.8,12,1.5,0.0,1.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.59#",PushPop,2095907,6164961,270,7762.6,7648.0,7008,8800,346.1,270,1.0,2.0,0.0
