Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=5#",PushPop,16192,371042,18,899.6,864.0,768,1536,173.2,18,1.0,0.0,1.0
"TSL:Thunk:#name=jit(true_divide)/div,hlo_op=wrapped_divide#",PushPop,15872,101892,14,1133.7,1008.0,928,1856,252.2,14,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_convert_element_type,program_id=145#",PushPop,14368,158021,14,1026.3,992.0,896,1568,161.0,14,1.0,0.0,1.0
"TSL:Thunk:#name=jit(sqrt)/sqrt,hlo_op=wrapped_sqrt#",PushPop,13824,86110,14,987.4,944.0,928,1504,150.5,14,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=127#",PushPop,13728,82710,6,2288.0,2272.0,2240,2368,56.3,6,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_convert_element_type,program_id=257#",PushPop,13024,70110,4,3256.0,3120.0,3008,3776,350.9,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_dynamic_slice,program_id=69#",PushPop,12864,204503,14,918.9,896.0,864,1184,78.8,14,1.0,0.0,1.0
TSL:Thunk:#hlo_op=input_reduce_fusion#,PushPop,12800,18160,2,6400.0,6400.0,6368,6432,45.3,2,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_convert_element_type,program_id=259#",PushPop,12480,69022,4,3120.0,3088.0,2976,3328,153.5,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_scatter,program_id=75#",PushPop,12000,88211,1,12000.0,12000.0,12000,12000,0.0,3,3.0,0.0,3.0
"TSL:XlaModule:#hlo_module=jit_sqrt,program_id=19#",PushPop,11904,140731,12,992.0,944.0,928,1504,162.6,12,1.0,0.0,1.0
"TSL:Thunk:#name=jit(true_divide)/div,hlo_op=loop_divide_fusion#",PushPop,11456,252433,10,1145.6,1024.0,928,1632,255.9,10,1.0,1.0,0.0
"TSL:Thunk:#name=jit(add),hlo_op=loop_add_fusion#",PushPop,11424,70751,5,2284.8,2688.0,800,3616,1103.6,5,1.0,1.0,0.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_squeeze,program_id=71#",PushPop,11360,187901,14,811.4,800.0,736,992,64.7,14,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_arctan,program_id=9#",PushPop,10848,256672,6,1808.0,1792.0,1696,1952,98.6,6,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_true_divide,program_id=239#",PushPop,10752,32581,1,10752.0,10752.0,10752,10752,0.0,1,1.0,0.0,1.0
"TSL:Thunk:#name=jit(clip),hlo_op=loop_minimum_fusion#",PushPop,9984,94390,9,1109.3,1024.0,800,1376,208.6,9,1.0,1.0,0.0
